Type	| Malware	| Hash(SHA256)
Android	| RoamingMantis	| f459dd104870edd9a8b4dd4d25a0c91ecf03dd00836013318a0462030bc819a6
Android	| Rotexy	| 2edbda57d6ec5686a2302c9d571c3a9d24dbbf18ff7588d05e4c29f87f453300
Android	| Rotexy	| 63c948b8fa1201a8f8ba136c45075a2993e20e2f14b4eeedc83f38a90a3c3a28
Android	| Zitmo		| 06d8609af5b956c55af6a789a52718227710d84d5ab2cef01b4591c481ed149c
Android	| Zitmo		| 0fdb614c960116d882804c15f990f3447e1640d164ca4c55b25fa9cc1eabfa0e
Android	| Zitmo		| 1d5f39ca37ff7210dee7188481ff96de2836bb00bf3440fc1e99e0666ab0107b
Android	| Zitmo		| 25469422c57f1ab130251949cc546f7554f1a463707fb119a08c6db5fc66388a
Android	| Zitmo		| 2b115b714faa2180d0899a9d3e309aef8b03d1176a070bfdbc8155674eafd25f
Android	| Zitmo		| 2f1e9e0c1193e7238b8a85490e4bd79691ac2752b1b376096b4f6de7cd304d36
Android	| Zitmo		| 6ac9c5e52c286bd85689c189d3265a855cc709117ce324217fcfb1532dd06726
Android	| Zitmo		| 7c05edd8458b71e9750e2b519ee2bcccc461eb924a31a4799d316163cb9ddfcd
Android	| Zitmo		| 8dd3efba3ab9367079cd9e93804cd139ec88c474916f39182cc185a6f5bf898b
Android	| Zitmo		| 93f67ef04e34bd8d2b26fca33f39b9d360192628953c45ced3872b97cfe456f8
Android	| Zitmo		| 9cc099dd60eea0ba9d1e131c8bc56e43d45b9baa05e91b0ea87b9f2d4be0ed3b
Android	| Zitmo		| a916393d3699e8a9e180541cea7fed4787760b045bdef5f665b754011fc010b1
Android	| Zitmo		| c0488857baab3f7964c873a0641f2303cb4d6059960bdaf66ed3619efd3ba341
Android	| Zitmo		| cb50cb1e1c2314ad473225e69c15839befc1bf3ee9b593276771f7189886ac4d
Android	| Zitmo		| e8865d7d4daa62eeb91b7659b5a0c2cb72914f1d1ea43b9a51f43ee8854a6ee0
Android	| Zitmo		| f9f6e0e23ff4a9a453702ace470b7b65c049552b90e0e4024db7de67dff8d883
Android	| Zitmo		| fdeda2878836d5229fe4bfb5dbe873d748bdca9e179a3f69cb453c884b856a64
----------------------------------------------------------------------------------------------------------------
